OBJECTID,CNN,STREETNAME,FROM_ST,TO_ST,FACILITY_T,DIRECT,SURFACE_TR,BARRIER,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,INSTALL_YR,INSTALL_MO,UPDATE_YR,UPDATE_MO,GLOBALID,SYMBOLOGY,SHARROW,BUFFERED,RAISED,CONTRAFLOW,GREENWAVE,BIAP,SM_SWEEPER,shape
3745,19789000,,UNNAMED 078,UNNAMED 052,CLASS III,2W,,,PRESIDIO,S,1,0,0,Unnamed077,0.08767875,95,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47511 37.807404, -122.47495 37.807518, -122.474785 37.807606, -122.47466 37.807636, -122.474556 37.807636, -122.47446 37.80761, -122.47423 37.807457, -122.47387 37.807125)"
4828,19789000,,UNNAMED 078,UNNAMED 052,CLASS III,2W,,,PRESIDIO,N,0,0,0,Unnamed077,0.08767875,65,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47511 37.807404, -122.47495 37.807518, -122.474785 37.807606, -122.47466 37.807636, -122.474556 37.807636, -122.47446 37.80761, -122.47423 37.807457, -122.47387 37.807125)"
3724,19790000,,LINCOLN BLVD,UNNAMED 078,CLASS III,2W,,,PRESIDIO,S,1,0,0,Unnamed 077,0.03728133,95,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47387 37.807125, -122.47342 37.80672)"
1112,19790000,,LINCOLN BLVD,UNNAMED 078,CLASS III,2W,,,PRESIDIO,N,0,0,0,Unnamed077,0.03728133,65,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47387 37.807125, -122.47342 37.80672)"
4139,19866002,,,,CLASS III,2W,,,PRESIDIO,N,1,0,0,Hwy 101,0.05170732,95,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.476006 37.80689, -122.47537 37.80633)"
1421,19866002,,,,CLASS III,2W,,,PRESIDIO,S,0,0,0,Hwy 101,0.05170732,2,,,,,,BIKE ROUTE,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.476006 37.80689, -122.47537 37.80633)"
2396,0,,ALEMANY BL,BAYSHORE BL,CLASS I,N,,,,N,0,,,,0.03342753,,2018,12,0,0,,BIKE PATH,0,NO,NO,NO,NO,NO,,"LINESTRING (-122.40714 37.737373, -122.40709 37.737545, -122.40704 37.737667, -122.40699 37.737732, -122.406876 37.73778)"
4620,0,,,,CLASS I,2W,,,,,1,0,0,,0.31978493,69,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.480965 37.77271, -122.480705 37.772346, -122.48094 37.77192, -122.480995 37.77182, -122.48105 37.771706, -122.481186 37.771538, -122.48132 37.77145, -122.481255 37.771347, -122.4812 37.771236, -122.4812 37.771202, -122.48121 37.771164, -122.48123 37.77112, -122.48125 37.77108, -122.48123 37.77104, -122.481064 37.77086, -122.48106 37.770824, -122.48106 37.770794, -122.481064 37.770767, -122.48112 37.770718, -122.48173 37.770126, -122.48153 37.770134, -122.48135 37.770164, -122.48094 37.770287, -122.48009 37.770542, -122.47998 37.77033)"
3371,0,,LINCOLN WAY,MARTIN LUTHER KING JR DR,CLASS I,2W,,,,,0,0,0,,0.03587613,75,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.47825 37.76591, -122.47831 37.765392)"
1815,0,,,,CLASS I,2W,,,,,0,0,0,,0.08011366,2,0,,0,,,BIKE PATH,0,NO,NO,NO,NO,NO,NO,"LINESTRING (-122.43604 37.80655, -122.436165 37.806606, -122.436516 37.80664, -122.43747 37.806526, -122.43747 37.806526)"
